Item,PartNumber,Quantity,SupplierLink,Price,Notes
100 nF capacitor,C1591,15,https://www.lcsc.com/product-detail/C1591.html,0.26,
1 µF capacitor,C15849,15,https://www.lcsc.com/product-detail/C15849.html,0.25,
22 µF capacitor,C86295,10,https://www.lcsc.com/product-detail/C86295.html,0.15,
220 µF capacitor,C125977,5,https://www.lcsc.com/product-detail/C125977.html,1.04,
330 µF capacitor,C249985,5,https://www.lcsc.com/product-detail/C249985.html,1.57,
5.1 kΩ resistor,C23186,10,https://www.lcsc.com/product-detail/C23186.html,0.11,
10 kΩ resistor,C25804,5,https://www.lcsc.com/product-detail/C25804.html,0.10,
22 Ω resistor,C23345,10,https://www.lcsc.com/product-detail/C23345.html,0.10,
62 Ω resistor,C23222,20,https://www.lcsc.com/product-detail/C23222.html,0.12,
1 kΩ resistor,C21190,5,https://www.lcsc.com/product-detail/C21190.html,0.10,
3.3 kΩ resistor,C22978,5,https://www.lcsc.com/product-detail/C22978.html,0.11,
SS54 Schottky diode,C22452,15,https://www.lcsc.com/product-detail/C22452.html,0.87,
APH1265 inductor,C5349639,5,https://www.lcsc.com/product-detail/C5349639.html,2.00,
USB Type-C port,C165948,5,https://www.lcsc.com/product-detail/C165948.html,0.88,
2-pin terminal block,C709041,20,https://www.lcsc.com/product-detail/C709041.html,3.67,
Level shifter,C2675672,5,https://www.lcsc.com/product-detail/C2675672.html,5.73,
Buck converter,C51661,5,https://www.lcsc.com/product-detail/C51661.html,3.27,
Voltage regulator,C6186,5,https://www.lcsc.com/product-detail/C6186.html,0.83,
ESP32 module,C2913199,5,https://www.lcsc.com/product-detail/C2913199.html,25.97,
Full Colors 90 cm LED strip,,4,https://www.aliexpress.com/item/1005004940479033.html,28.32,
Full Colors 110 cm LED strip,,1,https://www.aliexpress.com/item/1005004940479033.html,7.71,
Full Colors LED strip pack (alternative),,6,,34.50,"4×75cm, 1×90cm, 1×25cm"
PCB,,5,https://jlcpcb.com,3.50,"2-layer board"
